id,postal_code,latitude,longitude
551299,PL19 0QJ,50.592482,-4.295217
552156,PL15 9PA,50.599462,-4.325145
552158,PL15 9PD,50.599754,-4.305036
552189,PL17 7JU,50.500548,-4.34946
552246,PL15 9QH,50.580981,-4.390741
552633,PL15 8EZ,50.643227,-4.357406
552725,PL15 7ED,50.627895,-4.377641
552947,PL14 6LQ,50.471628,-4.538131
552993,PL15 7SY,50.617008,-4.481222
553111,PL15 7AR,50.635883,-4.362526
553332,PL14 4QS,50.433131,-4.519726
553337,PL14 4QY,50.417095,-4.530287
553342,PL14 4RE,50.407338,-4.572939
553416,PL14 6HX,50.472813,-4.590687
553431,PL14 5BD,50.531569,-4.411912
553490,PL14 5HB,50.496111,-4.46436
553536,PL14 3XA,50.460716,-4.451958
553864,PL14 3RQ,50.428655,-4.384353
555336,PL11 2EH,50.372072,-4.19618
555976,PL1 4NY,50.371908,-4.181954
556961,PH7 3LN,56.422012,-3.803401
557226,PH36 4JB,56.715175,-5.562257
557246,PH36 4LH,56.698695,-6.103275
557293,PH4 1QP,56.257999,-3.78746
557676,PH33 6PP,56.827103,-5.084812
557831,PH3 1PG,56.2806,-3.703224
557833,PH3 1PJ,56.260448,-3.732148
557931,PH26 3LR,57.396968,-3.413373
557935,PH26 3LW,57.341034,-3.517579
558272,PH25 3DH,57.262624,-3.657642
558350,PH20 1EH,57.06908,-4.116273
558381,PH21 1HS,57.080259,-4.052279
558474,PH21 1NQ,57.13153,-3.886348
558519,PH22 1QA,57.152302,-3.856986
558676,PH2 9PX,56.305782,-3.337821
558738,PH2 8DF,56.378114,-3.427914
558858,PH2 8PT,56.37234,-3.415783
559061,PH2 7SG,56.422782,-3.28199
559071,PH2 7SX,56.429535,-3.208065
559311,PH2 7HF,56.403701,-3.425779
559362,PH2 6AH,56.453966,-3.385896
559448,PH2 6HJ,56.453106,-3.335711
559455,PH2 6HT,56.476507,-3.318496
559540,PH2 0NB,56.387367,-3.459621
559553,PH2 0PA,56.39682,-3.444325
559756,PH18 5TH,56.773397,-3.857504
559833,PH16 5BU,56.702386,-3.732739
560019,PH16 5LS,56.758146,-3.804486
560090,PH16 5QE,56.691142,-4.138564
560193,PH15 2JF,56.622236,-3.928195
560423,PH14 9QH,56.432035,-3.185458
560466,PH14 9QS,56.451063,-3.202502
560473,PH14 9RB,56.464724,-3.209474
560831,PH10 6RR,56.584078,-3.336518
561024,PH10 7HB,56.604185,-3.321476
561254,PH1 5HS,56.401923,-3.436535
561265,PH1 5JN,56.39922,-3.43172
561278,PH1 5LP,56.398809,-3.427686
561325,PH1 5NG,56.399171,-3.431329
561689,PH1 3RY,56.437608,-3.663463
561721,PH1 5EN,56.397067,-3.432271
561725,PH1 3SU,56.417113,-3.557456
561741,PH1 3TQ,56.452535,-3.61704
561993,PH1 3JR,56.41166,-3.495348
562347,PH1 1RA,56.388977,-3.485242
562480,PE9 4RP,52.660244,-0.384773
562494,PE9 4ST,52.673696,-0.422999
562694,PE9 3UT,52.621735,-0.584946
563148,PE9 1PB,52.652971,-0.479937
563376,PE9 2BU,52.652472,-0.476096
563435,PE8 6XX,52.587253,-0.50707
563719,PE8 6QG,52.55303,-0.430942
563751,PE8 5BE,52.500402,-0.492528
563917,PE8 5QX,52.43509,-0.388237
563977,PE8 4AL,52.482807,-0.466149
564306,PE7 8GX,52.544071,-0.257658
564318,PE7 8HP,52.543656,-0.255197
564400,PE7 3QT,52.522225,-0.25786
564457,PE7 3SL,52.486688,-0.331741
565276,PE6 9NT,52.717202,-0.362509
565497,PE6 8RQ,52.664187,-0.256952
565670,PE6 7YP,52.614525,-0.196547
567000,PE38 0LN,52.568193,0.390767
567205,PE37 8EN,52.650213,0.777156
567453,PE36 5HP,52.937456,0.494658
567491,PE36 5LR,52.901445,0.551342
567733,PE34 4RW,52.740449,0.298911
568190,PE34 3EZ,52.702483,0.363569
568297,PE33 9ED,52.599146,0.466467
568335,PE33 0DP,52.642931,0.454758
568370,PE33 9JP,52.666742,0.542865
568665,PE32 2PZ,52.732124,0.828151
568907,PE32 2BP,52.727644,0.682246
568942,PE32 1AW,52.780843,0.519559
568959,PE32 1BY,52.767696,0.509222
569050,PE32 1EX,52.752568,0.472401
569114,PE32 1NL,52.705921,0.492856
569205,PE32 1QN,52.744161,0.552143
569505,PE31 8AQ,52.959787,0.636408
569626,PE31 7AT,52.907283,0.476936
570012,PE31 6TY,52.816724,0.655501
570236,PE30 5DA,52.751711,0.397219
570829,PE30 1HB,52.754879,0.393481
570830,PE30 1HE,52.755533,0.394036
570831,PE30 1HJ,52.754783,0.393817
572205,PE29 6FJ,52.337442,-0.205698
572986,PE28 9AB,52.318787,-0.115733
573225,PE28 3RD,52.359797,0.026481
